country,model,first_registration,mileage,fuel_type,price
a,glc 220,12-2016,74900,d,34950
a,glc 250,06-2018,79000,d,41900
a,glc 300,07-2021,70000,d,45890
a,glc 300,08-2022,15247,d,49950
a,glc 220,08-2020,98500,d,39990
a,glc 220,05-2016,150000,d,27390
a,glc 250,12-2016,118000,d,33990
a,glc 250,05-2017,87000,d,37400
a,glc 300,11-2020,41923,d,42990
a,glc 220,12-2016,112100,d,28990
i,glc 250,11-2018,86000,d,30900
i,glc 250,09-2018,127001,d,30400
i,glc 220,01-2020,64800,d,44900
i,glc 220,09-2021,42368,d,46900
i,glc 220,11-2020,78901,d,38700
i,glc 220,11-2019,90600,d,41900
i,glc 200,09-2020,109392,d,33800
i,glc 300,10-2021,70855,3,45000
i,glc 220,06-2021,41115,d,40800
i,glc 250,10-2017,105000,d,34900
i,glc 300,01-2022,34770,3,44900
i,glc 220,04-2024,12000,d,64850
i,glc 220,07-2020,27000,d,46800
i,glc 220,05-2024,21900,3,62950
i,glc 220,02-2023,9670,3,68500
i,glc 200,05-2020,96033,d,32950
i,glc 220,01-2020,128280,d,41900
i,glc 220,06-2020,55300,d,38900
i,glc 220,06-2023,30776,3,59800
i,glc 200,04-2024,6000,2,63900
d,glc 220,01-2019,70000,d,32880
d,glc 400,03-2023,4104,2,63769
d,glc 300,03-2023,31421,b,58780
d,glc 300,05-2021,65000,3,38735
d,glc 300,03-2021,72760,2,35400
d,glc 200,09-2020,47000,b,39890
d,glc 300,09-2023,39355,3,60900
d,glc 250,07-2018,72000,d,35890
d,glc 250,08-2016,29000,b,31990
d,glc 300,09-2021,63070,2,36990
d,glc 300,07-2021,66586,2,41440
d,glc 200,01-2024,6219,b,59970
d,glc 220,10-2019,135307,d,28590
d,glc 250,08-2017,70250,b,27750
d,glc 300,07-2021,78000,3,39490
d,glc 300,08-2024,5000,b,68470
d,glc 200,11-2024,4000,b,62870
d,glc 300,07-2020,33590,2,36990
d,glc 220,09-2024,5165,d,69550
d,glc 63 amg,03-2019,67800,b,54900
a,glc 220,05-2017,123000,d,32990
a,glc 250,11-2015,70581,d,27770
a,glc 300,11-2021,77000,3,41500
a,glc 300,08-2020,27000,d,47000
a,glc 200,11-2020,242200,d,24999
a,glc 250,12-2016,56200,d,32900
a,glc 300,10-2019,88000,d,39999
a,glc 250,02-2017,58000,d,36900
a,glc 350,12-2017,99000,d,40900
a,glc 220,03-2018,121500,d,36999
a,glc 300,01-2021,69000,2,37990
a,glc 300,05-2022,50797,3,49900
a,glc 250,02-2019,122000,b,31900
a,glc 220,07-2018,78000,d,42900
a,glc 250,10-2015,86725,d,31870
a,glc 220,08-2018,42000,d,33900
a,glc 250,03-2019,135000,d,34699
a,glc 220,09-2016,185000,d,30000
a,glc 220,12-2018,88000,d,31500
a,glc 250,12-2017,125000,d,36990
i,glc 200,06-2020,85480,d,35500
i,glc 220,05-2023,5986,3,66900
i,glc 300,07-2021,44823,3,45000
i,glc 300,10-2021,49676,3,43900
i,glc 220,05-2021,61958,d,39900
i,glc 220,04-2022,55950,d,46800
i,glc 220,03-2022,102837,d,42800
i,glc 220,12-2022,100439,3,52900
i,glc 43 amg,new,0,2,99900
i,glc 220,09-2023,27518,3,60900
i,glc 250,07-2018,162381,d,25500
i,glc 43 amg,12-2016,77000,b,37400
i,glc 220,09-2020,71206,d,35800
i,glc 220,01-2021,98767,d,40900
i,glc 220,new,0,3,84000
i,glc 250,02-2019,149031,d,32400
i,glc 200,10-2020,98700,d,34800
i,glc 220,07-2024,6,3,71500
i,glc 220,01-2020,44149,d,43900
i,glc 250,06-2018,107900,d,28500
d,glc 200,12-2020,143700,d,27750
d,glc 43 amg,10-2018,98500,b,37888
d,glc 300,10-2023,16289,2,63810
d,glc 300,05-2024,11000,2,64288
d,glc 220,10-2018,38000,d,42490
d,glc 200,03-2024,8781,b,54950
d,glc 220,11-2024,8000,d,63810
d,glc 200,09-2021,71375,2,32440
d,glc 200,01-2022,18190,b,39370
d,glc 300,07-2020,34164,b,43980
d,glc 300,07-2023,27392,b,56890
d,glc 300,01-2023,33558,b,55900
d,glc 220,07-2023,16402,d,64900
d,glc 300,02-2024,14631,d,71870
d,glc 300,08-2022,58000,3,45999
d,glc 220,03-2023,20000,d,55450
d,glc 220,09-2015,70000,d,26980
d,glc 220,04-2023,32700,d,57440
d,glc 300,02-2021,65203,d,47900
d,glc 220,09-2023,12005,d,49990
a,glc 220,12-2022,42743,d,49800
a,glc 220,10-2023,18000,d,67489
a,glc 220,02-2020,84390,d,38990
a,glc 350,03-2017,129787,2,28950
a,glc 220,10-2019,74950,d,35900
a,glc 300,04-2022,65000,d,49500
a,glc 220,10-2019,135000,d,42500
a,glc 300,08-2021,33801,3,49440
a,glc 220,05-2016,160000,d,24950
a,glc 400,09-2020,78567,d,53790
a,glc 220,09-2018,71981,d,32580
a,glc 200,12-2019,53325,b,43950
a,glc 250,06-2017,89000,b,38990
a,glc 220,10-2023,6500,d,68900
a,glc 220,07-2020,114414,d,34990
a,glc 300,01-2020,114000,d,40900
a,glc 250,07-2018,90000,d,37500
a,glc 220,07-2020,114414,d,34990
a,glc 250,12-2015,49270,d,36890
a,glc 300,09-2023,3612,3,63990
i,glc 220,01-2020,90900,d,34900
i,glc 250,09-2017,101201,d,27450
i,glc 300,02-2022,83275,3,49600
i,glc 220,new,0,3,60600
i,glc 200,01-2020,70487,b,36900
i,glc 43 amg,new,0,b,113198
i,glc 220,02-2023,48600,3,55990
i,glc 220,02-2024,4000,3,79900
i,glc 200,06-2019,72203,d,33900
i,glc 220,11-2018,107000,d,33483
i,glc 220,10-2023,8000,3,69900
i,glc 200,09-2023,11900,2,50900
i,glc 63 amg,08-2018,69700,b,58499
i,glc 300,11-2019,130000,d,36500
i,glc 220,09-2022,24836,3,56300
i,glc 200,09-2020,100820,d,36990
i,glc 220,05-2019,139814,d,31850
i,glc 200,02-2021,24000,2,43750
i,glc 300,08-2021,74670,3,47900
i,glc 200,04-2023,14737,2,59800
d,glc 300,09-2021,80650,3,39800
d,glc 300,10-2020,62492,d,41980
d,glc 250,04-2018,126000,d,29490
d,glc 300,09-2023,3606,2,64500
d,glc 350,08-2019,75412,d,38980
d,glc 300,09-2023,25331,2,61850
d,glc 250,11-2017,63651,b,29999
d,glc 450,03-2024,14202,d,83980
d,glc 300,03-2024,13985,d,71980
d,glc 250,02-2020,41500,b,39977
d,glc 300,11-2021,46598,2,39535
d,glc 300,03-2021,108330,3,35760
d,glc 220,09-2020,104000,d,35990
d,glc 300,10-2023,14421,2,76660
d,glc 220,02-2018,47809,d,29444
d,glc 300,03-2023,13355,d,69900
d,glc 43 amg,02-2019,131900,b,33500
d,glc 220,02-2023,34636,d,52900
d,glc 300,06-2024,8000,3,74810
d,glc 300,12-2020,37506,2,39888
a,glc 220,03-2023,48644,d,49800
a,glc 200,08-2020,79854,d,38980
a,glc 220,06-2023,29000,3,59990
a,glc 300,09-2023,4800,2,63950
a,glc 63 amg,06-2020,89000,b,79999
a,glc 250,06-2017,74041,b,38990
a,glc 43 amg,07-2018,105000,b,42500
a,glc 220,04-2023,18919,d,62690
a,glc 250,01-2018,86000,d,41990
a,glc 43 amg,10-2019,105000,b,49900
a,glc 250,03-2016,168273,d,28900
a,glc 350,05-2018,125767,b,34500
a,glc 220,09-2023,12000,d,59900
a,glc 250,10-2019,158800,d,34900
a,glc 350,08-2017,115300,d,39270
a,glc 220,12-2016,147000,d,27000
a,glc 220,02-2016,315000,d,17990
a,glc 200,09-2021,79300,d,39990
a,glc 220,07-2019,81400,d,35900
a,glc 200,08-2021,87700,d,39450
i,glc 300,10-2020,22782,3,48900
i,glc 220,06-2020,70644,d,39900
i,glc 300,09-2020,109000,d,37400
i,glc 300,11-2019,84750,d,42000
i,glc 300,10-2022,18803,d,56700
i,glc 400,12-2019,83000,d,48000
i,glc 220,10-2022,87862,d,52900
i,glc 300,11-2022,37901,3,52900
i,glc 220,new,0,d,81954
i,glc 43 amg,06-2018,143335,b,36900
i,glc 63 amg,new,0,o,166600
i,glc 300,09-2020,64588,d,44500
i,glc 43 amg,08-2023,7719,b,69900
i,glc 43 amg,new,0,2,106800
i,glc 300,05-2021,57458,3,43900
i,glc 300,new,50,3,106500
i,glc 220,new,unknown,3,65140
i,glc 220,06-2020,70644,d,39900
i,glc 220,12-2023,34350,3,74500
i,glc 200,09-2020,100118,d,32790
d,glc 300,08-2021,62791,3,36900
d,glc 300,07-2022,40000,3,44990
d,glc 220,08-2023,47998,d,51310
d,glc 63 amg,12-2021,75000,b,69950
d,glc 220,05-2022,23129,d,41967
d,glc 220,05-2017,85333,d,26200
d,glc 220,01-2024,11893,d,56500
d,glc 300,08-2021,56600,3,41850
d,glc 220,03-2023,14190,d,51830
d,glc 300,10-2023,11000,2,64790
d,glc 300,06-2023,22200,3,62980
d,glc 300,09-2021,86273,d,38880
